"1","八元体验",,,"0","0",,,,"0","0",,"0","0",,,"0","1","1","0/1:2:1"
"4","专题",,,"0","50",,,,"0","0",,"0","0","13,14",,"0","0","0","0/4:2:2"
"5","缤纷水果",,"新鲜健康每一天！","9","0",,,,"0","0",,"0","0",,"fruit","0","0","0","0/9/5:3:1"
"9","APP",,,"0","1",,,,"0","0",,"1","0",,,"0","0","0","0/9:2:3"
"134","新年特供",,,"133","50",,,,"0","0",,"0","0",,,"0","0","0","0/9/133/134:4:1"
"16","五谷杂粮",,"甄选品质，天然养生！","9","0",,,,"0","0",,"0","0",,"grain","0","0","0","0/9/16:3:2"
"17","大米",,,"16","100",,,,"0","0",,"0","0",,,"0","0","0","0/9/16/17:4:1"
"32","干货炒货2",,"有滋有味尽在有团！","9","0",,,,"0","0",,"0","0",,"roasts","0","0","0","0/9/32:3:3"
"34","干货",,,"16","100",,,,"0","0",,"0","0",,,"0","0","0","0/9/16/34:4:2"
"37","坚果",,,"32","90",,,,"0","0",,"0","0",,,"0","0","0","0/9/32/37:4:1"
"44","干货炒货",,"做个快乐的小吃货！","9","0",,,,"0","0",,"0","0",,"piece","0","0","0","0/9/44:3:4"
"45","零食",,,"44","100",,,,"0","0",,"0","0",,,"0","0","0","0/9/44/45:4:1"
"141","新鲜配送",,,"150","254",,,,"0","0",,"1","0",,"send","0","0","0","0/9/150/141:4:1"
"143","本土优选",,,"141","190",,,,"0","0",,"0","0",,,"0","0","0","0/9/150/141/143:5:6"
"142","人气鲜果",,,"141","200",,,,"0","0",,"0","0",,,"0","0","0","0/9/150/141/142:5:5"
"138","养生豆类",,"健康的体魄，是最大的财富！","9","0",,,,"0","0",,"0","0",,"bean","0","0","0","0/9/138:3:9"
"135","缤纷水果",,,"141","150",,,,"0","0",,"0","0",,,"0","0","0","0/9/150/141/135:5:3"
"130","干货零食",,,"141","90",,,,"0","0",,"0","0",,,"0","0","0","0/9/150/141/130:5:2"
"131","全城最低",,"价格打折，品质不打折！","9","0",,,,"0","0",,"0","0",,"city","0","0","0","0/9/131:3:7"
"132","全城最低",,,"131","50",,,,"0","0",,"0","0",,,"0","0","0","0/9/131/132:4:1"
"126","散装水果",,,"5","90",,,,"0","0",,"0","0",,,"0","0","0","0/9/5/126:4:2"
"125","整装水果",,,"5","100",,,,"0","0",,"0","0",,,"0","0","0","0/9/5/125:4:1"
"136","进口水果",,,"5","90",,,,"0","0",,"0","0",,,"0","0","0","0/9/5/136:4:3"
"73","饮品类",,"牛奶类/进口乳类/进口饮料/经典香飘飘/矿泉水...","9","0",,,,"0","0",,"0","0",,"drink","0","0","0","0/9/73:3:5"
"99","厨房干货",,,"16","70",,,,"0","0",,"0","0",,,"0","0","0","0/9/16/99:4:3"
"100","五色五香",,,"16","80",,,,"0","0",,"0","0",,,"0","0","0","0/9/16/100:4:4"
"102","五谷杂粮",,,"141","110",,,,"0","0",,"0","0",,,"0","0","0","0/9/150/141/102:5:1"
"104","饮品",,,"44","90",,,,"0","0",,"0","0",,,"0","0","0","0/9/44/104:4:2"
"106","进口饮料",,,"73","80",,,,"0","0",,"0","0",,,"0","0","0","0/9/73/106:4:1"
"108","矿泉水",,,"73","100",,,,"0","0",,"0","0",,,"0","0","0","0/9/73/108:4:2"
"112","经典糖酥糕",,,"44","100",,,,"0","0",,"0","0",,,"0","0","0","0/9/44/112:4:3"
"140","退换货",,,"0","50",,,,"0","0",,"1","0",,,"0","0","0","0/140:2:4"
"139","养生豆类",,,"141","100",,,,"0","0",,"0","0",,,"0","0","0","0/9/150/141/139:5:4"
"149","精品水果",,,"141","50",,,,"0","0",,"0","0",,,"0","0","0","0/9/150/141/149:5:8"
"144","远到美味",,,"141","180",,,,"0","0",,"0","0",,,"0","0","0","0/9/150/141/144:5:7"
"145","天天1元购",,,"150","254",,,,"0","0",,"1","0",,,"0","0","0","0/9/150/145:4:2"
"146","示例分类",,,"9","255",,,,"0","0",,"0","0",,,"0","0","0","0/9/146:3:10"
"148","精品水果",,,"9","0",,,,"0","0",,"0","0",,,"0","0","0","0/9/148:3:11"
"137","国产水果",,,"5","100",,,,"0","0",,"0","0",,,"0","0","0","0/9/5/137:4:4"
"133","新年特供",,"限时特价，喜气羊羊！","9","0",,,,"0","0",,"0","0",,"year","0","0","0","0/9/133:3:8"
"128","今日爆款",,,"127","100",,,,"0","0",,"0","0",,,"0","0","0","0/9/127/128:4:1"
"127","今日爆款",,"每日爆款，限时特价！","9","0",,,,"0","0",,"0","0",,"hot","0","0","0","0/9/127:3:6"
"150","南京",,,"9","255",,,,"0","0",,"1","0",,,"0","0","0","0/9/150:3:12"
"151","上海",,,"9","254",,,,"0","0",,"1","0",,,"0","0","0","0/9/151:3:13"
"152","新鲜配送",,,"151","50",,,,"0","0",,"1","0",,,"0","0","0","0/9/151/152:4:1"
"153","天天1元购",,,"151","50",,,,"0","0",,"1","0",,,"0","0","0","0/9/151/153:4:2"
"154","精品水果",,,"152","50",,,,"0","0",,"1","0",,,"0","0","0","0/9/151/152/154:5:1"
"155","盛夏爆款",,,"150","50",,,,"0","0",,"1","0",,,"0","0","0","0/9/150/155:4:3"
"159","国产优选",,,"150","50",,,,"0","0",,"1","0",,,"0","0","0","0/9/150/159:4:5"
"158","进口佳品",,,"150","50",,,,"0","0",,"1","0",,,"0","0","0","0/9/150/158:4:4"
"160","盛夏爆款",,,"151","50",,,,"0","0",,"1","0",,,"0","0","0","0/9/151/160:4:3"
"161","国产优选",,,"151","50",,,,"0","0",,"1","0",,,"0","0","0","0/9/151/161:4:4"
"162","进口佳品",,,"151","50",,,,"0","0",,"1","0",,,"0","0","0","0/9/151/162:4:5"
